EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;TOLL_POINT_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1506096681;1500563594;201.858;Virtual;MINISTRY OF TRANSPORTATION;305978a613c042a0a2617095c146268c;20160815153922;20210731081808;5158
1506096784;1500574681;619.028;Virtual;MINISTRY OF TRANSPORTATION;0295162cda774877bb4f87b0f302d52a;20090123155815;20210731081808;5159
1506096793;1500675483;328.548;Virtual;MINISTRY OF TRANSPORTATION;bb40647e7e0e47369d190d634182d6f0;20120410110152;20210731081808;5160
1506096741;1500680741;654.764;Virtual;MINISTRY OF TRANSPORTATION;d74a94a02de940b79a7e4526445ce93a;20120208114009;20210731081808;5161
1506096794;1500717215;331.203;Virtual;MINISTRY OF TRANSPORTATION;9b923b2cf797487cbe7e319627a0a43b;20120411114756;20210731081808;5162
2752294;1500333201;175.142;Virtual;MINISTRY OF TRANSPORTATION;6d85fab9d00240689ad0652339dee80c;20130527154812;20210731081808;5163
3549362;1510867398;288.565;Virtual;MINISTRY OF TRANSPORTATION;4f08622437c547c78f9d209405dd83b7;20120803134112;20210731081808;5164
4068468;1500411012;315.190;Virtual;MINISTRY OF TRANSPORTATION;9de59add62564aed8c05d7b3fbec7023;20120412131931;20210731081808;5165
4068471;1512091297;505.833;Virtual;MINISTRY OF TRANSPORTATION;cbc3d216a7e94b01b7287f68d2dc9566;20130516162203;20210731081808;5166
4068560;1500358875;475.510;Virtual;MINISTRY OF TRANSPORTATION;e90f0e83e9394a4ca5dbea2d6a8bbb2d;20120628152453;20210731081808;5167
4068570;1500517085;588.153;Virtual;MINISTRY OF TRANSPORTATION;1766b9aea79848d4b820cf6ee83c9ad0;20120802090823;20210731081808;5168
4068572;1500465358;642.633;Virtual;MINISTRY OF TRANSPORTATION;590175c5800b43ee8cbff893d84914f0;20120802105350;20210731081808;5169
4068579;1508313522;199.491;Virtual;MINISTRY OF TRANSPORTATION;647d1ac642134ca78e5135f1684b65f5;20130527155102;20210731081808;5170
4068580;1500505923;2746.048;Virtual;MINISTRY OF TRANSPORTATION;102d8a0db4b24b42a9ef7d449a83457a;20120802140316;20210731081808;5171
6542145;6414210;251.167;Virtual;MINISTRY OF TRANSPORTATION;5c11f5b8ca5a4919a2b2f324b7d5e5f1;20191216164938;20210731081808;5172
6542264;6411500;736.392;Virtual;MINISTRY OF TRANSPORTATION;f88dd2d64be346ee8fb3a3978b7dddca;20170126130733;20210731081808;5173
6542819;6413726;612.170;Virtual;MINISTRY OF TRANSPORTATION;b64d11f481db4fdcafbd41e45d6caa0b;20191106144736;20210731081808;5174
6542821;6413682;311.938;Virtual;MINISTRY OF TRANSPORTATION;8540f4acc4fe48f38b3f0190a50a5151;20191106144739;20210731081808;5175
6543039;6408889;731.863;Virtual;MINISTRY OF TRANSPORTATION;831b109e5c1448cd8205d5a9d003b76d;20191003101009;20210731081808;5176
7435129;6413770;253.744;Virtual;ONTARIO ROAD NETWORK;3ebb09e92e0a4c6ab0a546cee1ce8da7;20191217103039;20210731081808;5177
1506096803;1500671030;524.840;Virtual;MINISTRY OF TRANSPORTATION;613110c307ad4ad998e05d861263f24b;20130527153648;20210731081808;5178
1506096804;1500411731;305.838;Virtual;MINISTRY OF TRANSPORTATION;cbd7c282d1d24596859609788be279d2;20120404114209;20210731081808;5179
1506096748;1500373423;540.893;Virtual;MINISTRY OF TRANSPORTATION;33194c8983bc4fdebf210b4383ce5c15;20120801111632;20210731081808;5180
1506096744;1500480701;108.717;Virtual;MINISTRY OF TRANSPORTATION;05680100bf1d4510b17a32965540762e;20120208115046;20210731081808;5181
1506096732;1500705931;494.516;Virtual;MINISTRY OF TRANSPORTATION;5b9232193053423c871c84f38ed88776;20190115114350;20210731081808;5182
1506096761;1500340098;162.475;Virtual;MINISTRY OF TRANSPORTATION;958af367d3bf4f0d939ea2cae6b161fd;20120807111214;20210731081808;5183
1506096852;1500640924;393.132;Virtual;MINISTRY OF TRANSPORTATION;1afba61f8f104dbfa7bf85e0cfe5c3fb;20120207131143;20210731081808;5184
1506096689;1500540550;303.931;Virtual;MINISTRY OF TRANSPORTATION;dd1eebe83b094d9a9cb8acd2d8fa3b9b;20100908115112;20210731081808;5185
1506096831;1500566298;332.596;Virtual;MINISTRY OF TRANSPORTATION;a33d1b83ba8b428da2c504710244a69f;20130527152356;20210731081808;5186
1506096682;1500656542;389.669;Virtual;MINISTRY OF TRANSPORTATION;81a5cd99c2ac4d71bd8f65797403e19c;20210603160134;20210731081808;5187
1506096839;1500720829;571.584;Virtual;MINISTRY OF TRANSPORTATION;c6d6ab9060a44698a6e59a5d1cab924d;20130527153042;20210731081808;5188
1506096759;1500731816;77.863;Virtual;MINISTRY OF TRANSPORTATION;c2498039f25640debeb9c1b97d6d1b12;20120807111329;20210731081808;5189
1506096753;1500742651;418.973;Virtual;MINISTRY OF TRANSPORTATION;c36e2ab68ed444d5acc78908d1c5a946;20130527154004;20210731081808;5190
1506096777;1500711677;553.147;Virtual;MINISTRY OF TRANSPORTATION;8a6a8b477a424a7d99dc9924811f6dea;20120412112559;20210731081808;5191
2752292;1500637247;211.805;Virtual;MINISTRY OF TRANSPORTATION;3ab8e651369045c298adb1a08e8bddfe;20120801145114;20210731081808;5192
3549360;1500639296;345.795;Virtual;MINISTRY OF TRANSPORTATION;6c70119bbb9a4b71b87d04e5a588673c;20190111164213;20210731081808;5193
3549366;1500484325;778.858;Virtual;MINISTRY OF TRANSPORTATION;e12b067fce3143d78e9e42c7dee60daa;20190102144326;20210731081808;5194
4043179;4042851;264.613;Physical;MINISTRY OF NATURAL RESOURCES AND FORESTRY;6607c00d72714e88ad8bc08a16738de9;20151021130838;20210731081808;5195
4068462;1500604285;501.883;Virtual;MINISTRY OF TRANSPORTATION;6ab7ff3c05cc4de591b7e6373b2615a2;20191217103457;20210731081808;5196
