EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;ROUTE_NAME_ENGLISH;ROUTE_NAME_FRENCH;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
4155543;1509509372;0.000;125.969;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20150206133206;20210731081808;293546
4155556;1500600125;0.000;103.838;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20140428141957;20210731081808;293547
4155887;1500574557;0.000;138.351;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133758;20210913104925;302423
4155904;1500607165;0.000;204.585;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133613;20210913104925;302424
4155908;1500703564;0.000;10.318;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133715;20210913104925;302425
4155916;1500543539;486.368;0.000;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411145323;20210913104925;302426
4155889;1500626368;0.000;200.520;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411134243;20210913104925;302427
4155951;1500700115;0.000;622.963;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133549;20210913104925;302428
6008643;1507657258;0.000;3179.097;Talbot Trail;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20201117145935;20210913104925;302429
4155880;1500316251;0.000;186.325;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411135906;20210913104925;302430
4155890;1500665650;0.000;190.344;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133302;20210913104925;302431
4155910;1500739728;0.000;486.181;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133510;20210913104925;302432
4155926;1500328220;0.000;518.485;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133755;20210913104925;302433
4155946;1508301147;0.000;467.050;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411134026;20210913104925;302434
4155851;1500314416;0.000;254.483;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133259;20210913104925;302436
4155852;1500381721;0.000;353.209;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133609;20210913104925;302437
4155854;1500459540;0.000;58.381;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411133556;20210913104925;302438
4155856;1500517159;0.000;561.008;Wine Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20180411134042;20210913104925;302439
