EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;STRUCTURE_TYPE;STRUCTURE_NAME_ENGLISH;STRUCTURE_NAME_FRENCH;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1351;1500368274;493.410;508.269;Bridge;;;;42168ad706b245d2bbf98b62f05bda27;20090514130151;20210731081808;239155
5176;1500358445;97.347;129.414;Bridge;;;;8df7d33ddfb24738bb7838af6ed36539;20130527150408;20210731081808;239156
5177;1500360808;564.846;2445.112;Bridge;;;;0c3a11a361c44bf49e79e36f6f5605de;20100915113540;20210731081808;239157
12547;1500363187;2818.217;2876.495;Bridge;15 MILE CREEK BRIDGE;;MINISTRY OF TRANSPORTATION;918c0bfad32d48e09c1efcfee46641d2;20130424090434;20210731081808;239158
4995;1500367985;7.420;48.907;Bridge;;;;9a0b4a5cbdce4c3ea6920124a5815cab;20140603150550;20210731081808;239159
1392;1500365950;738.395;749.196;Bridge;;;;44cdac0f68b04f22936fa282ea3818c1;20180323162102;20210731081808;239162
4687;1500365950;1734.829;1745.734;Bridge;;;;f0f7ad2023ed4002bf7d7e2b3ded434e;20180323162102;20210731081808;239163
8532;1500361303;260.838;335.686;Bridge;;;;772af4bdb4d94d2eb163dbf54e14f14b;20100915105319;20210731081808;239164
262;1500361317;515.924;553.482;Bridge;;;;0d2475af615943edb43e61a0738c5f0e;20130905112219;20210731081808;239165
11598;1500366414;29.126;101.543;Bridge;;;;4e2d1bf3498543d19635ac01f0cb0c0a;20120217174249;20210731081808;239166
4149;1500366499;1805.562;1821.090;Bridge;;;;d42e210cde434d4f99497506d6821171;20090514130151;20210731081808;239167
2280;1500366164;4014.218;4155.256;Bridge;WHITE LAKE NARROWS BRIDGE;;MINISTRY OF TRANSPORTATION;706dce1b9539456586f270b0a70a7902;20121115130549;20210731081808;239168
403;1500368963;950.837;968.985;Bridge;;;;13aa7a8b7157440e872791ab8c862455;20090514130151;20210731081808;239169
9408;1500369072;519.710;531.861;Bridge;;;;92a4c383fa4f47539e0af0503cf567fa;20141125153406;20210731081808;239170
4016;1500364320;292.113;305.174;Bridge;;;;ccf9175a13b24c20acd3e64e2e0af679;20180410131252;20210731081808;239171
11807;1500361620;716.298;742.695;Bridge;;;;4d01c415f2f34de980210f290932fd89;20090514130151;20210731081808;239173
7899;1500364385;1986.157;1992.483;Bridge;;;;74bd97418aee4ba0bb766d28bf7a2cc1;20090514130151;20210731081808;239174
6920;1500370261;1731.163;1760.596;Bridge;;;;3988b418d21546cda7dcc0e635f9dbf8;20090514130151;20210731081808;239176
3492;1500364913;206.593;221.460;Bridge;;;;b0d34ceb3d404a1489defbc80bb55b33;20190430133330;20210731081808;239177
5964;1500367065;26.551;89.529;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;d2c8e0feef704f7ea1472821823d5e57;20160210155347;20210731081808;239178
11599;4153012;5.370;34.247;Tunnel;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;2a884f73d35748c3986072c3168b9aa4;20150629151905;20210731081808;239179
1525;1500367766;903.430;1054.342;Bridge;;;;4ae5690e789c4a0ab5a697aa9cff7da5;20140326132602;20210731081808;239180
1898;1500370458;398.555;376.492;Bridge;;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;5d30394fb7e14e329d49addbc659193b;20150918121501;20210731081808;239181
8534;1500362662;201.446;274.530;Bridge;;;;b4ffe5a829ae4feeb62457cf796e0869;20100915104402;20210731081808;239182
3197;1500379879;410.000;425.067;Bridge;;;;a0ddf4f72ec04e8c8986a4b6a05dc16e;20180422140110;20210731081808;239183
4500;1500379879;3608.582;3619.630;Bridge;;;;e68d75cc73ea4b199b24dd063cbdbf32;20180413141435;20210731081808;239184
10138;1500622651;1040.151;1052.155;Bridge;;;;5e1cf242cc8643ae9ff38dd269581272;20090514130151;20210731081808;239185
3821;1500624029;67.048;77.452;Bridge;;;;c21855cb99a24b818e17a7eee1b0bd44;20110406110152;20210731081808;239186
3712;1500620596;98.359;127.786;Bridge;;;;bbc58c589bce4d619f86750143f0c078;20120613113938;20210731081808;239187
