EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;BLOCKED_PASSAGE_TYPE;AGENCY_NAME;NATIONAL_UUID;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
1502525501;1500316507;12.873;Removable;;6590392843cf4cf2bdb29f4a99c89186;20150420090816;20210731081808;5726993
1502524461;1500317321;14.864;Removable;;a84588fc6b2e48c6835ff77d7ccf813e;20090123131209;20210731081808;5726994
1502526994;1500326659;0.000;Removable;;147df00fab954639837b29ca41bb5862;20090123131209;20210731081808;5726995
1502527223;1500343491;0.000;Removable;;ceaca05730f346a7ac4d430d2401d927;20090123131209;20210731081808;5726998
1502524746;1500340730;114.332;Removable;;003c84081da04645a22caa678e958098;20100622141555;20210731081808;5726999
1502526539;1500359167;0.000;Removable;;4ade8fb87bc54728a8781005f0c820ff;20210126163859;20210731081808;5727000
1502524081;1500368229;44.396;Removable;;3b31df0bf33745fca41934e3613f12ab;20110901112507;20210731081808;5727001
1502527114;1500371429;7.941;Removable;;a366275410f04ecf9cbf807ba2eacaed;20160415150309;20210731081808;5727002
1502525070;1500371893;0.000;Removable;;fdcdf55aa2a947b99bf0fc645b25787a;20090123131209;20210731081808;5727003
1502524923;1500377065;0.000;Removable;;5fee32ce204340bf86964fd96fe547c9;20091022155646;20210731081808;5727004
1502525200;1500386951;1371.838;Removable;;70a04a00018042ada28828da953217f3;20100622141555;20210731081808;5727005
1502526859;1500389014;514.164;Removable;;8e7bf61eebd24e08a95b49656b0b7588;20100609131739;20210731081808;5727007
1502523458;1500393651;321.457;Removable;;f73d256fadf3421e85e1497ee0e1fe0c;20090123131209;20210731081808;5727008
1502524264;1500312080;169.922;Removable;;e6badc50e5f245dfb8d0f67b72c312c3;20090123095704;20210731081808;5727009
1502524018;1500330620;55.606;Removable;;b71b2530125d4458a5936400f549a2cc;20090123095704;20210731081808;5727010
1502523385;1500324788;1659.984;Removable;;7caf32e6745b41c4bacdc7ce5f5589ef;20090123095704;20210731081808;5727011
1502524589;1500329201;0.000;Removable;;7e82bd30642e4108bb6f762ebcdf9cfa;20090123095704;20210731081808;5727012
1502524158;1500354897;676.426;Removable;;807561bc17204ef085c943cfccac55c9;20120904155639;20210731081808;5727015
1502525550;1500357404;26.084;Removable;;2a23c796365a48cc9d9359fe843dc2fc;20100622141555;20210731081808;5727016
1502524235;1500368424;0.000;Removable;;35286bf96a204f33a37d159363e9dccb;20090123095704;20210731081808;5727017
1502523538;1500363738;58.090;Removable;;038fab2a03d2443c9a9ae686655f3028;20170321112631;20210731081808;5727019
1502524111;1500378119;41.592;Removable;;36dde9474ed441ef873b5fa193d16874;20090123095704;20210731081808;5727020
1502524546;1500374195;0.000;Removable;;f7948072424b40bc909c89b9a9ed23b0;20090123095704;20210731081808;5727021
1502523549;1500392238;127.081;Removable;;bf85edaa5fc04b019ff798cf2cf2f2f4;20090123095704;20210731081808;5727022
1502523859;1500381500;19.450;Removable;;a023c4be254143a78ec9be63af34d142;20121102153949;20210731081808;5727023
1502523383;1500390953;12.648;Removable;;2d3703f11a05480cb3330fe5e4e05296;20090123095704;20210731081808;5727024
1502523489;1500392966;242.282;Removable;;d48ccd2af0344cbe83743219c8f35403;20110411114240;20210731081808;5727025
1502526932;1500371864;342.105;Removable;;a5a9a0ebdfc64c4480d3459da3aa7ceb;20160516170023;20210731081808;5727026
1502522784;1500376992;0.000;Removable;;f67278293d4b4928819090162acb30eb;20091022155646;20210731081808;5727027
1502523168;1500387701;150.364;Removable;;f5ee5373fc414dd4a6d2be66019355f3;20150930131549;20210731081808;5727028
1502526054;1500395635;0.000;Removable;;9b308fe86ed042eab61bfc5d08533d51;20140520141443;20210731081808;5727029
1502527197;1500399729;0.000;Removable;;834b1427294e4c949b1165d03ebc0582;20091022155646;20210731081808;5727030
1502523347;1500407072;79.002;Removable;;d9e521f5d5ea4f669fd3b9dbfa5d90f1;20130509094042;20210731081808;5727031
1502526642;1500404716;2644.323;Removable;;bfd860556df7473f9df3317524d49c0b;20151021091304;20210731081808;5727033
