EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;UNDERPASS_TYPE;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
9015;1500451274;725.599;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190809;20210731081808;498897
9033;1500386430;19.309;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190809;20210731081808;498913
9096;4052375;256.576;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190810;20210731081808;498929
9099;1500644351;595.884;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;498945
9103;1500698630;1929.219;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;498961
13161;6035839;97.986;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190606;20210804133425;554145
6377058;1500502330;57.674;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181107;20210804133425;554161
6803338;1510574828;317.114;Walkway;ONTARIO ROAD NETWORK;20171107130445;20191011150817;254177
7200968;7200838;508.411;Road;ONTARIO ROAD NETWORK;20190215134835;20191011150817;254353
6255102;6255081;167.554;Rail;ONTARIO ROAD NETWORK;20171101113424;20191011150817;255185
9154;1500515398;297.023;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;498993
9171;1500378318;49.505;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499009
9172;1500478352;57.670;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499025
9198;5631000;1534.404;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190810;20210731081808;499041
9228;1500478352;40.056;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499073
9274;1500692934;176.513;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499105
7775;1510057680;86.042;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499121
7777;1510307292;769.566;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190811;20210731081808;499137
7792;1509791779;28.213;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190812;20210731081808;499169
7826;4078076;28.776;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190810;20210731081808;499217
